name,district,verified,rating,review_count,price_level,latitude,longitude
Safia (Farobiy),Olmazor,Yes,4.8,18,2,41.349068233011,69.1760916695263
NIHOL (Farobiy),Olmazor,Yes,4.3,6,2,41.3492250951931,69.1764319135143
Dine cafe Indian,Olmazor,Yes,5.0,5,2,41.3633329855147,69.180841684701
SRV Indian ,Olmazor,Yes,4.9,39,1,41.36381633689,69.1819227229546
Safia (Shifokor),Olmazor,Yes,4.5,17,2,41.3627371942184,69.1874548600091
Paramach,Olmazor,Yes,5.0,4,1,41.3496997567214,69.1831018177966
Rizvon,Olmazor,No,4.5,15,2,41.3502018441332,69.1867755735547
Cheesecake uz,Olmazor,Yes,0.0,0,2,41.3486723604925,69.1978875288474
CafeDra,Olmazor,Yes,3.5,15,1,41.3512806758638,69.2062452601713
Cafe issimo (Chimboy),Olmazor,Yes,4.1,20,3,41.3482014551909,69.2150209301145
Morella ice-cream (Beruniy),Olmazor,Yes,4.6,23,2,41.3399007825582,69.2066761994487
Chigatoy Art,Olmazor,Yes,5.0,27,3,41.3380628298092,69.2223154950307
Cremona (Oxakchi),Olmazor,Yes,3.8,36,2,41.3374914611123,69.2139604722509
Rumors,Olmazor,Yes,4.7,43,3,41.3419559973364,69.237314785599
Safia (Karakamish),Olmazor,Yes,4.4,21,2,41.3643308381002,69.2061148601124
Maison De Cafe,Olmazor,Yes,5.0,2,3,41.3430180113796,69.2579183959443
Coffee Time,Olmazor,Yes,4.7,3,2,41.3396487196146,69.2545838338862
Safia (Rixsili),Yunusobod,Yes,4.2,88,2,41.3749595391094,69.2710479732251
Coffee Man,Yunusobod,Yes,4.1,7,2,41.3753388052633,69.2964269616065
Giotto (Mega Planet),Yunusobod,Yes,3.7,51,3,41.3672184808138,69.291172432696
Bon (Ahmad Donish),Yunusobod,Yes,4.5,115,3,41.3614749144404,69.2801406888078
Chinor,Yunusobod,No,4.2,26,2,41.3677275108999,69.2693733423505
Caffelito (Yunusabad Gallery),Yunusobod,Yes,5.0,4,2,41.3710836150149,69.2752041954124
Angora ,Yunusobod,Yes,4.7,16,3,41.3554544536013,69.3112260480788
Cafe issimo (Yunusobod),Yunusobod,Yes,4.2,349,3,41.3326412369431,69.2839198011874
Book Coffee,Yunusobod,Yes,4.6,24,3,41.3316113057872,69.2845692134916
Giotto (S5),Yunusobod,Yes,4.2,359,3,41.3307518858991,69.2844343085456
Bon (Amir Temur),Yunusobod,Yes,4.3,150,3,41.330443077429,69.2844980197993
Super Bistro,Yunusobod,Yes,3.5,93,2,41.3295849152028,69.2841058177966
Socials (Minor),Yunusobod,Yes,4.7,546,3,41.3290756110554,69.2830561759449
Paul (Amir Temur),Yunusobod,Yes,4.1,341,3,41.3233693798907,69.2827016811179
JUNE,Yunusobod,Yes,4.6,37,3,41.320607745871,69.2833960254461
Cafeline,Yunusobod,No,5.0,3,2,41.3253257099462,69.277233063674
Lali,Yunusobod,Yes,4.7,258,3,41.3279251604195,69.2779779339885
Qave,Mirzo Ulugbek,Yes,4.6,18,2,41.345520436522,69.345745738804
Safia (Buyuk Ipak yuli),Mirzo Ulugbek,Yes,4.6,44,2,41.3267238311182,69.3352394794676
Soul café (Buyuk Ipak yuli),Mirzo Ulugbek,Yes,4.8,844,3,41.3270188501966,69.3376268521444
Bon (Buyuk Ipak yuli),Mirzo Ulugbek,Yes,4.6,105,3,41.3268453701833,69.3388154759398
B&B Coffee House (Maksim G),Mirzo Ulugbek,Yes,3.8,173,3,41.3274711135891,69.3405694000113
Stories City Café,Mirzo Ulugbek,Yes,4.5,257,3,41.3275355679056,69.3411380283253
Rodena café,Mirzo Ulugbek,Yes,4.6,57,3,41.3143145089659,69.3300002012455
Safia (Parkent),Mirzo Ulugbek,Yes,4.2,99,2,41.3124219958476,69.33265415821
Soul Artisan Bakery,Mirzo Ulugbek,Yes,4.8,139,3,41.3118898761643,69.3333817498689
Pomodoro,Mirzo Ulugbek,Yes,3.7,36,3,41.3108849369166,69.3334033477675
Beanberry,Mirzo Ulugbek,Yes,4.4,147,3,41.3142374606101,69.2934997303267
Casablanca,Mirzo Ulugbek,Yes,4.5,17,3,41.31037648292,69.2916229215274
Bon (Sodiq Azimov),Mirzo Ulugbek,Yes,4.1,213,3,41.3100474342813,69.2915968464151
Donguri,Mirzo Ulugbek,Yes,4.8,36,3,41.3095685346834,69.2916608017705
La Cantine Park,Mirzo Ulugbek,Yes,3.8,105,3,41.308045384813,69.2960941520699
Bibigon ,Mirzo Ulugbek,Yes,4.1,393,3,41.3115953075056,69.2898250251467
Pie Republic (Shahrisabz),Mirzo Ulugbek,Yes,4.3,344,3,41.3107231451918,69.2874710073966
Giotto (Shahrisabz),Mirzo Ulugbek,Yes,3.9,342,3,41.3110024338443,69.2875105109127
Syrovarnya (Ecopark),Mirzo Ulugbek,Yes,4.6,901,3,41.311875758148,69.2856047195249
Safia (Mustaqillik),Mirzo Ulugbek,Yes,4.4,110,2,41.3164198062326,69.2902595174293
Pie Republic (Akay city),Mirzo Ulugbek,Yes,4.3,66,3,41.3206538697832,69.2941573941046
matcha club,Mirzo Ulugbek,Yes,4.0,10,3,41.3205703131316,69.2941462058823
Oila,Mirzo Ulugbek,Yes,4.3,55,3,41.322504087051,69.3030231576949
Bon (Okkurgan),Mirzo Ulugbek,Yes,4.3,123,3,41.3236437610895,69.303373181383
Cozy Coffee House,Mirzo Ulugbek,Yes,4.8,6,3,41.3153028255864,69.3266492323825
Safia (Turkqorgon),Shayxontohur,Yes,4.2,27,2,41.3422579033963,69.2659167431056
LARTISAN,Shayxontohur,Yes,4.8,29,3,41.3249956345702,69.2606653264735
Safia (Abdulla Kadiry),Shayxontohur,Yes,4.1,47,2,41.3285908219112,69.2492367237648
Cakelab (Abdulla Kadiry),Shayxontohur,Yes,4.2,51,3,41.3264486108473,69.2535896018528
CookBook Workshop,Shayxontohur,Yes,3.4,64,3,41.329530857218,69.2581353449917
Bon (Alisher navoiy),Shayxontohur,Yes,4.2,213,3,41.3215429596963,69.2551453410181
The Cups coffee,Shayxontohur,Yes,4.7,27,2,41.3220497585976,69.259465009786
Matcha club Maria Wellness,Shayxontohur,Yes,3.8,17,3,41.3171830206501,69.2531011395652
Paul (city mall),Shayxontohur,Yes,4.2,155,3,41.3160717888882,69.2532234698958
Safia (city mall),Shayxontohur,Yes,4.0,54,2,41.3159788418284,69.2529720715811
BB coffe bar,Shayxontohur,Yes,4.4,43,3,41.3141590887619,69.2447305105435
Community coffee bar,Shayxontohur,Yes,4.4,29,2,41.3145086310064,69.2446698288361
Stories Tashkent City Café,Shayxontohur,Yes,4.6,5,3,41.3136458752505,69.2434424576722
